a,1.615,2.115,1.125,1.75,1.885,1.385,2.143,2.214
b,3.5,1.5,2.176,1.235,2.7,1.2,2.625,2.312
c,0.5,2.0,1.462,1.385,2.0,1.25,3.0,2.0
d,2.176,2.265,3.5,1.5,2.5,1.167,2.7,2.3
e,1.583,2.167,1.75,1.417,2.038,1.385,3.0,2.0
f,1.7,1.2,2.286,1.571,2.5,2.0,2.5,0.5
g,1.824,2.265,2.0,1.2,2.4,1.4,2.4,2.15
h,3.5,2.0,2.176,1.235,2.5,1.0,2.5,2.5
i,2.333,0.5,2.333,0.0,2.5,0.0,2.5,0.5
j,3.6,1.0,3.6,1.0,3.875,0.875,3.269,0.962
k,3.333,1.667,2.125,1.125,2.318,1.364,3.154,1.5
l,2.0,0.5,2.0,0.0,2.5,0.0,2.5,0.5
m,1.429,3.071,1.316,2.211,2.0,2.0,2.0,3.1
n,1.5,2.25,1.357,1.286,2.0,1.0,2.0,2.5
o,1.364,2.318,1.583,1.417,1.917,1.417,2.136,2.318
p,2.0,2.286,1.824,1.235,2.4,1.2,1.125,1.75
q,1.824,2.265,2.0,1.2,0.875,1.75,2.474,2.395
r,0.25,1.25,1.5,1.0,2.0,1.0,0.0,0.0
s,1.0,1.167,1.615,1.385,2.643,1.714,1.955,1.864
t,2.286,0.929,2.3,1.4,2.1,1.6,3.125,0.875
u,1.5,2.5,1.5,1.0,2.038,1.385,2.115,2.346
v,1.5,2.0,1.636,1.182,1.8,2.2,1.786,0.929
w,1.579,2.921,1.611,2.722,1.9,3.6,1.812,2.75
x,1.3,1.6,1.364,1.818,2.136,1.545,2.2,1.6
y,1.857,1.643,2.0,1.4,2.667,2.133,1.167,0.833
z,1.154,1.538,0.75,2.25,2.5,2.0,2.5,1.375
A,2.231,1.346,2.231,4.154,2.45,2.4,2.474,3.026
B,2.0,2.3,1.765,1.294,2.5,1.455,2.3,2.65
C,0.9,2.7,2.067,1.933,2.444,1.778,3.615,3.0
D,1.929,2.643,1.765,1.294,2.75,1.25,2.529,2.882
E,0.0,2.5,1.765,1.294,2.5,1.455,2.778,2.278
F,0.0,2.0,1.875,1.125,2.368,1.105,0.0,1.5
G,1.0,2.7,1.929,2.357,2.389,2.278,2.227,3.409
H,2.0,4.0,2.0,1.0,2.25,1.25,2.0,3.5
I,2.0,0.5,2.0,0.0,2.5,0.0,2.5,0.5
J,2.0,2.0,0.0,0.0,3.875,1.125,2.5,1.833
K,1.583,1.583,2.278,1.444,2.136,1.455,2.944,1.944
L,0.0,0.0,2.0,1.0,2.632,1.105,5.0,2.0
M,2.238,3.833,2.227,1.773,2.333,2.367,2.438,3.125
N,2.25,3.417,2.13,1.826,2.368,1.158,2.32,2.78
O,1.929,3.143,1.938,2.125,2.579,1.947,2.529,3.382
P,1.875,3.125,1.765,1.294,2.25,1.25,0.0,2.0
Q,2.471,3.382,2.444,1.889,2.562,2.25,3.071,3.071
R,1.867,2.667,1.765,1.294,2.25,1.25,2.4,2.3
S,1.3,2.3,2.125,1.938,3.077,2.077,2.211,2.711
T,1.111,1.611,1.538,2.923,2.5,3.5,2.5,0.5
U,2.0,4.0,2.0,1.0,2.5,1.688,2.938,3.312
V,2.0,3.3,2.0,2.2,2.2,4.0,2.2,1.5
W,2.148,3.148,2.083,2.875,2.148,3.259,2.28,3.0
X,2.056,2.222,1.545,3.0,3.333,2.667,2.55,2.35
Y,2.062,2.438,1.643,2.5,2.5,4.0,2.308,0.615
Z,1.643,1.714,1.0,2.571,2.895,2.158,4.167,2.167
